626,AIRPORT RD,"DANDANI EVENT, CENTER #128, AIRPORT ROAD",Delta,Nigeria,Africa
627,AJAMIMOGHA,"#55 AJAMIMOGHA RD, WARRI",Delta,Nigeria,Africa
628,AGBARHO,#6 EWHERHE RD BY MODERN PRY SCH,Delta,Nigeria,Africa
629,AGBARHO OTOR," #6 OKOSE STREET, OFF, AGBARHA/EMEVO, RD, AGBARHA-OTOR",Delta,Nigeria,Africa
630,ABRAKA 1,"FORMER DOUBLE, DELIGHT FAST FOOD BY FSP JUNCTION",Delta,Nigeria,Africa
631,ABRAKA 2,"#204 OLD, ABRAKA/AGBOR RD, BESIDES WIMA, CLINIC, OKORHIRHE",Delta,Nigeria,Africa
632,AMEKPE (UGHELLI3),"EDAFE EVENT, CENTER, END OF, OCHUKO LANE, 1ST, AMEKPE",Delta,Nigeria,Africa
633,BOMADI,"ORDELE EVENTS, HALL, GRA BOMADI, OPP LG CHAIRMAN",Delta,Nigeria,Africa
634,ENERHEN HQ,"#11 WARRI/SAPELE RD, BY ENERHEN, JUNC",Delta,Nigeria,Africa
635,ENHWE,"EFE-OMOVUDU, EVENT CENTER, BESIDES ULEWE, QUARTER",Delta,Nigeria,Africa
636,EKPAN,"#3 NIGER CAT LINK, RD, OFF REFINERY, RD, AND NEPA, EXPRESSWAY, BEHIND CHICKEN REP",Delta,Nigeria,Africa
637,EKU,"OLD AGBOR, SAPELE RD, BY STAFF, QUARTERS, OPP, SULEMAN POULTRY, EKU",Delta,Nigeria,Africa
638,EMEVOR,"#6 OKOSE STREET, OFF, AGBARHA/EMEVO, ROAD",Delta,Nigeria,Africa
639,IRRI,#39 MISSIONS ROAD,Delta,Nigeria,Africa
640,JAKPA,"#2 EDU STREET, OFF JAKPA ROAD",Delta,Nigeria,Africa
641,JIBALE,"FORMER JITOS, HOTEL OPP JIBALE, MKT, ORUWHORUN",Delta,Nigeria,Africa
642,KWALE,"ADEGE STREET, BESIDES BENVO, TWINS HOTEL OFF, ASABA EXPRESS RD",Delta,Nigeria,Africa
